country,comid,latitude,longitude,alert
col,9014022,3.405139492,-69.99093331,R0
col,9013857,3.452054153,-70.23284992,R0
col,9014222,3.32254506,-70.18307763,R0
col,9013831,3.465215667,-70.17240859,R0
col,9014349,3.296174597,-70.1397417,R0
col,9013947,3.439374926,-70.09112939,R0
col,9014221,3.31478835,-70.23730026,R0
col,9012979,3.783721766,-68.77039263,R0
col,9012995,3.777727099,-68.73643262,R0
col,9013007,3.785362583,-68.62355201,R0
col,9013201,3.749690679,-69.0012722,R0
col,9013336,3.662721645,-69.0535433,R0
col,9013348,3.670578446,-69.19207555,R0
col,9013259,3.695352413,-69.13773026,R0
col,9013320,3.696727707,-69.27402584,R0
col,9013140,3.730809986,-69.24842118,R0
col,9013519,3.620904772,-69.59190363,R0
col,9013328,3.683321961,-69.35965431,R0
col,9013254,3.713033364,-68.86723094,R0
col,9012633,3.916884558,-67.88212263,R0
col,9012513,3.972415227,-67.94905682,R0
col,9012514,3.976118772,-68.21027212,R0
col,9012435,4.025429244,-68.19551573,R0
col,9012489,3.982641116,-68.29386623,R0
col,9012563,3.971789712,-68.10565003,R0
col,9012482,4.01988077,-68.34920732,R0
col,9012400,4.043854234,-68.05665361,R0
col,9012512,3.983484441,-68.00539454,R0
col,9012975,3.794989594,-68.53190001,R0
col,9012882,3.843364195,-68.55698528,R0
col,9015157,2.946918649,-70.96350808,R0
col,9015138,2.961653309,-70.94396591,R0
col,9015275,2.972214387,-70.80087857,R0
col,9015093,3.001962663,-70.95245336,R0
col,9015092,3.028463255,-71.03915476,R0
col,9014954,3.038848664,-70.95571651,R0
col,9014958,3.042496506,-70.93378391,R0
col,9015285,2.916389663,-70.85632329,R0
col,9015290,2.88593998,-70.77806765,R0
col,9015291,2.896240508,-70.75499397,R0
col,9015372,2.868999303,-70.71278884,R0
col,9015374,2.871931629,-70.36972224,R0
col,9015414,2.85866127,-70.57785011,R0
col,9015566,2.811179057,-70.5370456,R0
col,9015538,2.821667231,-70.615723,R0
col,9015450,2.852231505,-70.44885747,R0
col,9015726,2.768933289,-70.71184482,R0
col,9015365,2.879945713,-70.64931822,R0
col,9015586,2.817577798,-70.64792398,R0
col,9015533,2.834244979,-70.98036209,R0
col,9008915,5.469830044,-77.38852244,R0
col,9009127,5.376971386,-77.3407858,R0
col,9009796,5.083795342,-77.32678218,R0
col,9009741,5.155538115,-77.2347342,R0
col,9009499,5.22789101,-77.32371528,R0
col,9009273,5.289942462,-77.00794339,R0
col,9009288,5.293659721,-76.93250924,R0
col,9009264,5.312996191,-77.01856766,R0
col,9009178,5.376004889,-77.07669624,R0
col,9009301,5.308100323,-77.07356972,R0
col,9010034,4.991685769,-77.08618848,R0
col,9009982,5.010875251,-77.11217723,R0
col,9010558,4.817951671,-77.05396488,R0
col,9010579,4.753345804,-77.04871577,R0
col,9010436,4.79913367,-77.30132177,R0
col,9010219,4.903737491,-77.29628155,R0
col,9010625,4.718750004,-77.26958334,R0
col,9010626,4.733205383,-77.22851888,R0
col,9010755,4.700464104,-77.18548124,R0
col,9010959,4.609102426,-77.24341826,R0
col,9010419,4.807166787,-77.28160168,R0
col,9010459,4.798136089,-77.22817995,R0
col,9009418,5.327068182,-75.85958477,R2
col,9009128,5.417786127,-76.07480863,R0
col,9009149,5.37163871,-76.01318868,R0
col,9008073,5.838180074,-77.25369847,R0
col,9008032,5.845893641,-77.27057589,R0
col,9008495,5.644583214,-77.29448668,R0
col,9008505,5.666215796,-77.24333402,R0
col,9008273,5.735704205,-76.20790432,R0
col,9008224,5.821153156,-76.2155676,R0
col,9007956,5.8750615,-76.14638449,R0
col,9007990,5.878031117,-76.1159151,R0
col,9008285,5.745690542,-76.35881769,R0
col,9008329,5.724212524,-76.31646104,R0
col,9008305,5.754822547,-77.12886606,R0
col,9008210,5.845460587,-77.09425441,R0
col,9007875,5.922753809,-77.19603988,R0
col,9007865,5.932752493,-77.16223796,R0
col,9008839,5.552556614,-76.98688712,R0
col,9008594,5.591412468,-77.07212791,R0
col,9008559,5.687052022,-77.01876659,R0
col,9009274,5.30551459,-76.97425468,R0
col,9009228,5.35413221,-76.94005396,R0
col,9009044,5.399115525,-76.98243389,R0
col,9008857,5.487752328,-77.03259591,R0
col,9009041,5.421393584,-77.16127083,R0
col,9009045,5.439439447,-76.97608099,R0
col,9009072,5.388768938,-77.15588681,R0
col,9007822,5.947453927,-75.49867289,R0
col,9008555,5.641110029,-68.16913205,R0
col,9008089,5.837456446,-67.91792778,R0
col,9008632,5.584124666,-68.04706001,R0
col,9007671,6.021626719,-67.70935302,R0
col,9007794,5.982897314,-67.70148458,R0
col,9007504,6.102971306,-67.50450397,R0
col,9007559,6.086621987,-67.54078653,R2
col,9007658,6.084313319,-67.62081868,R0
col,9007841,5.941962346,-67.49179125,R0
col,9007791,5.9562225,-67.49124913,R2
col,9007787,5.970954355,-67.45894674,R0
col,9007743,5.996277845,-67.42773981,R0
col,9007700,6.007064223,-67.41126912,R0
col,9008155,5.794974793,-67.61695099,R0
col,9008122,5.808125004,-67.61479168,R0
col,9008123,5.829473003,-67.59716215,R0
col,9008008,5.85867083,-67.57272554,R0
col,9007970,5.894812617,-67.58179826,R0
col,9007986,5.879674091,-67.87794255,R0
col,9008215,5.811695761,-67.76633135,R0
col,9008538,5.625423489,-67.63065228,R0
col,9008211,5.769281724,-67.64209494,R0
col,9008858,5.54253931,-67.61975804,R0
col,9008867,5.478333337,-67.63333334,R0
col,9009047,5.42862089,-67.73706692,R0
col,9009052,5.431125581,-67.68705281,R0
col,9008610,5.59656857,-67.81493826,R0
col,9008339,5.727257061,-67.86295146,R0
col,9009147,5.371022723,-67.77590446,R0
col,9007288,6.221838438,-68.11024837,R0
col,9007289,6.222695076,-68.0797563,R0
col,9007286,6.263087097,-67.89752873,R0
col,9007109,6.306443833,-67.83146435,R0
